price,size,location,province,title,url
95000,110,Alicante. Campoamor - Carolinas - Altozano,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/538600.html
135000,134,San Vicente Del Raspeig,alicante,Casa en venta,https://www.tecnocasa.es/venta/casa/alicante/san-vicente-del-raspeig/546441.html
299000,210,Alicante. San Blas - Pau,alicante,Casa en venta,https://www.tecnocasa.es/venta/casa/alicante/alicante/546343.html
83900,66,Elche-Elx,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/elche-elx/538507.html
97500,81,Alicante. Plà Del Bon Repòs - La Goleta - San Antón,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/545342.html
215000,160,Agost,alicante,Casa en venta,https://www.tecnocasa.es/venta/casa/alicante/agost/532806.html
99000,90,Alicante. Plà Del Bon Repòs - La Goleta - San Antón,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/543967.html
7900,21,San Vicente Del Raspeig,alicante,Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/alicante/san-vicente-del-raspeig/542233.html
86000,42,Benidorm,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/benidorm/529755.html
52900,125,San Vicente Del Raspeig,alicante,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/alicante/san-vicente-del-raspeig/531310.html
155000,104,San Vicente Del Raspeig,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/san-vicente-del-raspeig/541741.html
64900,53,San Vicente Del Raspeig,alicante,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/alicante/san-vicente-del-raspeig/542561.html
7000,35,Alicante. Plà Del Bon Repòs - La Goleta - San Antón,alicante,Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/alicante/alicante/545903.html
159900,127,San Vicente Del Raspeig,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/san-vicente-del-raspeig/545828.html
97500,92,Alicante. Los Ángeles - Tómbola - San Nicolás,alicante,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/alicante/alicante/539372.html
169900,112,Alicante. Benalúa - La Florida - Babel - San Gabriel,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/526822.html
33000,60,Alicante. Campoamor - Carolinas - Altozano,alicante,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/alicante/alicante/525004.html
91000,70,Alicante. Campoamor - Carolinas - Altozano,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/542969.html
100000,4400,San Vicente Del Raspeig,alicante,Terrenos en venta,https://www.tecnocasa.es/venta/terrenos/alicante/san-vicente-del-raspeig/526758.html
176900,159,San Vicente Del Raspeig,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/san-vicente-del-raspeig/542018.html
242000,231,Alicante. Campoamor - Carolinas - Altozano,alicante,Terrenos en venta,https://www.tecnocasa.es/venta/terrenos/alicante/alicante/542858.html
117000,115,Alicante. Campoamor - Carolinas - Altozano,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/538771.html
83000,88,Alicante. Los Ángeles - Tómbola - San Nicolás,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/544777.html
169900,162,San Vicente Del Raspeig,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/san-vicente-del-raspeig/543813.html
104000,277,Alicante. Plà Del Bon Repòs - La Goleta - San Antón,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/536169.html
12900,18,San Vicente Del Raspeig,alicante,Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/alicante/san-vicente-del-raspeig/501918.html
199000,99,Alicante. San Blas - Pau,alicante,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/alicante/alicante/538323.html
135000,105,Alicante. San Blas - Pau,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/544593.html
90000,429,Alicante. Los Ángeles - Tómbola - San Nicolás,alicante,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/alicante/alicante/526840.html
83000,62,Alicante. Plà Del Bon Repòs - La Goleta - San Antón,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/543644.html
125000,83,Alicante. Campoamor - Carolinas - Altozano,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/530778.html
80000,117,San Vicente Del Raspeig,alicante,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/alicante/san-vicente-del-raspeig/500427.html
119000,158,San Vicente Del Raspeig,alicante,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/alicante/san-vicente-del-raspeig/517254.html
11900,15,San Vicente Del Raspeig,alicante,Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/alicante/san-vicente-del-raspeig/526213.html
69900,4000,Alicante. Los Ángeles - Tómbola - San Nicolás,alicante,Terrenos en venta,https://www.tecnocasa.es/venta/terrenos/alicante/alicante/530614.html
56000,2155,San Vicente Del Raspeig,alicante,Terrenos en venta,https://www.tecnocasa.es/venta/terrenos/alicante/san-vicente-del-raspeig/540899.html
89900,100,San Vicente Del Raspeig,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/san-vicente-del-raspeig/544212.html
71500,91,Alicante. Campoamor - Carolinas - Altozano,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/535632.html
89900,70,Alicante. Campoamor - Carolinas - Altozano,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/541320.html
9000,25,San Vicente Del Raspeig,alicante,Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/alicante/san-vicente-del-raspeig/530882.html
65000,69,Alicante. Virgen Del Remedio - Juan Xxiii,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/486294.html
67000,57,Alicante. Los Ángeles - Tómbola - San Nicolás,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/527352.html
72260,75,Alicante. Los Ángeles - Tómbola - San Nicolás,alicante,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/alicante/alicante/533096.html
55000,52,Alicante. Parque Avenidas - Vistahermosa,alicante,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/alicante/alicante/534451.html
54000,38,Alicante. Parque Avenidas - Vistahermosa,alicante,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/alicante/alicante/542206.html
60000,80,Alicante. Virgen Del Remedio - Juan Xxiii,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/540503.html
67500,77,Alicante. Los Ángeles - Tómbola - San Nicolás,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/540906.html
39000,80,Alicante. Virgen Del Remedio - Juan Xxiii,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/542559.html
170000,90,Alicante. Campoamor - Carolinas - Altozano,alicante,Ático en venta,https://www.tecnocasa.es/venta/atico/alicante/alicante/542568.html
85000,58,Alicante. Campoamor - Carolinas - Altozano,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/542892.html
79000,110,Alicante. Campoamor - Carolinas - Altozano,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/542895.html
95000,95,Alicante. Campoamor - Carolinas - Altozano,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/542908.html
65000,94,Alicante. Virgen Del Remedio - Juan Xxiii,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/543662.html
145000,125,San Vicente Del Raspeig,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/san-vicente-del-raspeig/538988.html
150000,133,Alicante. San Blas - Pau,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/542450.html
120000,100,Alicante. Los Ángeles - Tómbola - San Nicolás,alicante,Ático en venta,https://www.tecnocasa.es/venta/atico/alicante/alicante/539143.html
76000,87,Alicante. Los Ángeles - Tómbola - San Nicolás,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/539606.html
8900,24,Alicante. San Blas - Pau,alicante,Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/alicante/alicante/543473.html
67000,80,Alicante. Parque Avenidas - Vistahermosa,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/538316.html
154900,489,San Vicente Del Raspeig,alicante,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/alicante/san-vicente-del-raspeig/536143.html
