price,size,location,province,title,url
95.000,110,"Alicante, Campoamor - Carolinas - Altozano",alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/538600.html

135.000,134,San Vicente Del Raspeig,alicante,Casa en venta,https://www.tecnocasa.es/venta/casa/alicante/san-vicente-del-raspeig/546441.html

299.000,210,"Alicante, San Blas - Pau",alicante,Casa en venta,https://www.tecnocasa.es/venta/casa/alicante/alicante/546343.html

83.900,66,Elche-Elx,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/elche-elx/538507.html

97.500,81,"Alicante, Pl� Del Bon Rep�s - La Goleta - San Ant�n",alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/545342.html

215.000,160,Agost,alicante,Casa en venta,https://www.tecnocasa.es/venta/casa/alicante/agost/532806.html

99.000,90,"Alicante, Pl� Del Bon Rep�s - La Goleta - San Ant�n",alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/543967.html

7.900,21,San Vicente Del Raspeig,alicante,Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/alicante/san-vicente-del-raspeig/542233.html

86.000,42,Benidorm,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/benidorm/529755.html

52.900,125,San Vicente Del Raspeig,alicante,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/alicante/san-vicente-del-raspeig/531310.html

155.000,104,San Vicente Del Raspeig,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/san-vicente-del-raspeig/541741.html

64.900,53,San Vicente Del Raspeig,alicante,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/alicante/san-vicente-del-raspeig/542561.html

7.000,35,"Alicante, Pl� Del Bon Rep�s - La Goleta - San Ant�n",alicante,Box/plaza de garaje en venta,https://www.tecnocasa.es/venta/boxplaza-de-garaje/alicante/alicante/545903.html

159.900,127,San Vicente Del Raspeig,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/san-vicente-del-raspeig/545828.html

97.500,92,"Alicante, Los �ngeles - T�mbola - San Nicol�s",alicante,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/alicante/alicante/539372.html

169.900,112,"Alicante, Benal�a - La Florida - Babel - San Gabriel",alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/526822.html

128.000,100,"Alicante, Pl� Del Bon Rep�s - La Goleta - San Ant�n",alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/538796.html

33.000,60,"Alicante, Campoamor - Carolinas - Altozano",alicante,Local comercial en venta,https://www.tecnocasa.es/venta/local-comercial/alicante/alicante/525004.html

91.000,70,"Alicante, Campoamor - Carolinas - Altozano",alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/542969.html

100.000,4400,San Vicente Del Raspeig,alicante,Terrenos en venta,https://www.tecnocasa.es/venta/terrenos/alicante/san-vicente-del-raspeig/526758.html

176.900,159,San Vicente Del Raspeig,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/san-vicente-del-raspeig/542018.html

242.000,231,"Alicante, Campoamor - Carolinas - Altozano",alicante,Terrenos en venta,https://www.tecnocasa.es/venta/terrenos/alicante/alicante/542858.html

117.000,115,"Alicante, Campoamor - Carolinas - Altozano",alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/538771.html

83.000,88,"Alicante, Los �ngeles - T�mbola - San Nicol�s",alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/alicante/544777.html

169.900,162,San Vicente Del Raspeig,alicante,Piso en venta,https://www.tecnocasa.es/venta/piso/alicante/san-vicente-del-raspeig/543813.html

